Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
43,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
44,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
45,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
46,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
47,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
48,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
49,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
80,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
81,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
82,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
83,Gastroenteritis, vomiting, dehydration, diarrhoea,
84,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
85,Gastroenteritis, vomiting, sunken_eyes, dehydration,
86,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
87,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
88,Gastroenteritis, vomiting, dehydration, diarrhoea,
89,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
110,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
111,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
112,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
113,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
114,Migraine, acidity, indigestion, headache, excessive_hunger
115,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
116,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
117,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
118,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
119,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
120,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
121,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
122,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
123,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
124,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
125,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
126,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
127,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
128,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
129,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
150,Malaria, chills, vomiting, high_fever, sweating
151,Malaria, chills, vomiting, high_fever, sweating
152,Malaria, chills, vomiting, high_fever, sweating
153,Malaria, vomiting, high_fever, sweating, headache
154,Malaria, chills, high_fever, sweating, headache
155,Malaria, chills, vomiting, sweating, headache
156,Malaria, chills, vomiting, high_fever, headache
157,Malaria, chills, vomiting, high_fever, sweating
158,Malaria, chills, vomiting, high_fever, sweating
159,Malaria, chills, vomiting, high_fever, sweating
160,Chicken pox,itching, skin_rash, fatigue, lethargy
161,Chicken pox, skin_rash, fatigue, lethargy, high_fever
162,Chicken pox,itching, fatigue, lethargy, high_fever
163,Chicken pox,itching, skin_rash, lethargy, high_fever
164,Chicken pox,itching, skin_rash, fatigue, high_fever
165,Chicken pox,itching, skin_rash, fatigue, lethargy
166,Chicken pox,itching, skin_rash, fatigue, lethargy
167,Chicken pox,itching, skin_rash, fatigue, lethargy
168,Chicken pox,itching, skin_rash, fatigue, lethargy
169,Chicken pox,itching, skin_rash, fatigue, lethargy
170,Dengue, skin_rash, chills, joint_pain, vomiting
171,Dengue, skin_rash, chills, joint_pain, vomiting
172,Dengue, skin_rash, chills, joint_pain, vomiting
173,Dengue, skin_rash, chills, joint_pain, vomiting
174,Dengue, chills, joint_pain, vomiting, fatigue
175,Dengue, skin_rash, joint_pain, vomiting, fatigue
176,Dengue, skin_rash, chills, vomiting, fatigue
177,Dengue, skin_rash, chills, joint_pain, fatigue
178,Dengue, skin_rash, chills, joint_pain, vomiting
179,Dengue, skin_rash, chills, joint_pain, vomiting
250,Tuberculosis, chills, vomiting, fatigue, weight_loss
251,Tuberculosis, chills, vomiting, fatigue, weight_loss
252,Tuberculosis, vomiting, fatigue, weight_loss, cough
253,Tuberculosis, chills, fatigue, weight_loss, cough
254,Tuberculosis, chills, vomiting, weight_loss, cough
255,Tuberculosis, chills, vomiting, fatigue, cough
256,Tuberculosis, chills, vomiting, fatigue, weight_loss
257,Tuberculosis, chills, vomiting, fatigue, weight_loss
258,Tuberculosis, chills, vomiting, fatigue, weight_loss
259,Tuberculosis, chills, vomiting, fatigue, weight_loss
270,Pneumonia, chills, fatigue, cough, high_fever
271,Pneumonia, chills, fatigue, cough, high_fever
272,Pneumonia, chills, fatigue, cough, high_fever
273,Pneumonia, fatigue, cough, high_fever, breathlessness
274,Pneumonia, chills, cough, high_fever, breathlessness
275,Pneumonia, chills, fatigue, high_fever, breathlessness
276,Pneumonia, chills, fatigue, cough, breathlessness
277,Pneumonia, chills, fatigue, cough, high_fever
278,Pneumonia, chills, fatigue, cough, high_fever
279,Pneumonia, chills, fatigue, cough, high_fever
330,Hypoglycemia, vomiting, fatigue, anxiety, sweating
331,Hypoglycemia, vomiting, fatigue, anxiety, sweating
332,Hypoglycemia, vomiting, fatigue, anxiety, sweating
333,Hypoglycemia, fatigue, anxiety, sweating, headache
334,Hypoglycemia, vomiting, anxiety, sweating, headache
335,Hypoglycemia, vomiting, fatigue, sweating, headache
336,Hypoglycemia, vomiting, fatigue, anxiety, headache
337,Hypoglycemia, vomiting, fatigue, anxiety, sweating
338,Hypoglycemia, vomiting, fatigue, anxiety, sweating
339,Hypoglycemia, vomiting, fatigue, anxiety, sweating
370,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
371,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
372,Acne, pus_filled_pimples, blackheads, scurring,
373,Acne, skin_rash, blackheads, scurring,
374,Acne, skin_rash, pus_filled_pimples, scurring,
375,Acne, skin_rash, pus_filled_pimples, blackheads,
376,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
377,Acne, skin_rash, pus_filled_pimples, blackheads,
378,Acne, skin_rash, pus_filled_pimples, scurring,
379,Acne, skin_rash, blackheads, scurring,
380,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
381,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
382,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
383,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
384,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
385,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
386,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
387,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
388,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
389,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
390,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
391,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
392,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
393,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
394,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
395,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
396,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
397,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
398,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
399,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
400,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
401,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
402,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
403,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
404,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
405,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
406,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
407,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
408,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
409,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
410,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
411,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
412,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
413,Fungal infection,itching, skin_rash, dischromic _patches,
414,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
415,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
416,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
417,Fungal infection,itching, skin_rash, dischromic _patches,
418,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
419,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
420,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
421,Allergy, shivering, chills, watering_from_eyes,
422,Allergy, continuous_sneezing, chills, watering_from_eyes,
423,Allergy, continuous_sneezing, shivering, watering_from_eyes,
424,Allergy, continuous_sneezing, shivering, chills,
425,Allergy, shivering, chills, watering_from_eyes,
426,Allergy, continuous_sneezing, chills, watering_from_eyes,
427,Allergy, continuous_sneezing, shivering, watering_from_eyes,
428,Allergy, continuous_sneezing, shivering, chills,
429,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
430,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
431,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
432,GERD, stomach_pain, acidity, vomiting, cough
433,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
434,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
435,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
436,GERD, acidity, ulcers_on_tongue, vomiting, cough
437,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
438,GERD, stomach_pain, acidity, vomiting, cough
439,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
450,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
451,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
452,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
453,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
454,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
455,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
456,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
457,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
458,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
459,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
490,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
491,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
492,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
493,Gastroenteritis, vomiting, dehydration, diarrhoea,
494,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
495,Gastroenteritis, vomiting, sunken_eyes, dehydration,
496,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
497,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
498,Gastroenteritis, vomiting, dehydration, diarrhoea,
499,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
520,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
521,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
522,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
523,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
524,Migraine, acidity, indigestion, headache, excessive_hunger
525,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
526,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
527,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
528,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
529,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
530,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
531,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
532,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
533,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
534,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
535,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
536,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
537,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
538,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
539,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
560,Malaria, chills, vomiting, high_fever, sweating
561,Malaria, chills, vomiting, high_fever, sweating
562,Malaria, chills, vomiting, high_fever, sweating
563,Malaria, vomiting, high_fever, sweating, headache
564,Malaria, chills, high_fever, sweating, headache
565,Malaria, chills, vomiting, sweating, headache
566,Malaria, chills, vomiting, high_fever, headache
567,Malaria, chills, vomiting, high_fever, sweating
568,Malaria, chills, vomiting, high_fever, sweating
569,Malaria, chills, vomiting, high_fever, sweating
570,Chicken pox,itching, skin_rash, fatigue, lethargy
571,Chicken pox, skin_rash, fatigue, lethargy, high_fever
572,Chicken pox,itching, fatigue, lethargy, high_fever
573,Chicken pox,itching, skin_rash, lethargy, high_fever
574,Chicken pox,itching, skin_rash, fatigue, high_fever
575,Chicken pox,itching, skin_rash, fatigue, lethargy
576,Chicken pox,itching, skin_rash, fatigue, lethargy
577,Chicken pox,itching, skin_rash, fatigue, lethargy
578,Chicken pox,itching, skin_rash, fatigue, lethargy
579,Chicken pox,itching, skin_rash, fatigue, lethargy
580,Dengue, skin_rash, chills, joint_pain, vomiting
581,Dengue, skin_rash, chills, joint_pain, vomiting
582,Dengue, skin_rash, chills, joint_pain, vomiting
583,Dengue, skin_rash, chills, joint_pain, vomiting
584,Dengue, chills, joint_pain, vomiting, fatigue
585,Dengue, skin_rash, joint_pain, vomiting, fatigue
586,Dengue, skin_rash, chills, vomiting, fatigue
587,Dengue, skin_rash, chills, joint_pain, fatigue
588,Dengue, skin_rash, chills, joint_pain, vomiting
589,Dengue, skin_rash, chills, joint_pain, vomiting
660,Tuberculosis, chills, vomiting, fatigue, weight_loss
661,Tuberculosis, chills, vomiting, fatigue, weight_loss
662,Tuberculosis, vomiting, fatigue, weight_loss, cough
663,Tuberculosis, chills, fatigue, weight_loss, cough
664,Tuberculosis, chills, vomiting, weight_loss, cough
665,Tuberculosis, chills, vomiting, fatigue, cough
666,Tuberculosis, chills, vomiting, fatigue, weight_loss
667,Tuberculosis, chills, vomiting, fatigue, weight_loss
668,Tuberculosis, chills, vomiting, fatigue, weight_loss
669,Tuberculosis, chills, vomiting, fatigue, weight_loss
680,Pneumonia, chills, fatigue, cough, high_fever
681,Pneumonia, chills, fatigue, cough, high_fever
682,Pneumonia, chills, fatigue, cough, high_fever
683,Pneumonia, fatigue, cough, high_fever, breathlessness
684,Pneumonia, chills, cough, high_fever, breathlessness
685,Pneumonia, chills, fatigue, high_fever, breathlessness
686,Pneumonia, chills, fatigue, cough, breathlessness
687,Pneumonia, chills, fatigue, cough, high_fever
688,Pneumonia, chills, fatigue, cough, high_fever
689,Pneumonia, chills, fatigue, cough, high_fever
740,Hypoglycemia, vomiting, fatigue, anxiety, sweating
741,Hypoglycemia, vomiting, fatigue, anxiety, sweating
742,Hypoglycemia, vomiting, fatigue, anxiety, sweating
743,Hypoglycemia, fatigue, anxiety, sweating, headache
744,Hypoglycemia, vomiting, anxiety, sweating, headache
745,Hypoglycemia, vomiting, fatigue, sweating, headache
746,Hypoglycemia, vomiting, fatigue, anxiety, headache
747,Hypoglycemia, vomiting, fatigue, anxiety, sweating
748,Hypoglycemia, vomiting, fatigue, anxiety, sweating
749,Hypoglycemia, vomiting, fatigue, anxiety, sweating
780,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
781,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
782,Acne, pus_filled_pimples, blackheads, scurring,
783,Acne, skin_rash, blackheads, scurring,
784,Acne, skin_rash, pus_filled_pimples, scurring,
785,Acne, skin_rash, pus_filled_pimples, blackheads,
786,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
787,Acne, skin_rash, pus_filled_pimples, blackheads,
788,Acne, skin_rash, pus_filled_pimples, scurring,
789,Acne, skin_rash, blackheads, scurring,
790,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
791,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
792,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
793,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
794,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
795,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
796,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
797,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
798,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
799,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
800,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
801,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
802,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
803,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
804,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
805,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
806,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
807,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
808,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
809,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
810,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
811,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
812,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
813,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
814,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
815,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
816,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
817,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
818,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
819,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
820,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
821,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
822,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
823,Fungal infection,itching, skin_rash, dischromic _patches,
824,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
825,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
826,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
827,Fungal infection,itching, skin_rash, dischromic _patches,
828,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
829,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
830,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
831,Allergy, shivering, chills, watering_from_eyes,
832,Allergy, continuous_sneezing, chills, watering_from_eyes,
833,Allergy, continuous_sneezing, shivering, watering_from_eyes,
834,Allergy, continuous_sneezing, shivering, chills,
835,Allergy, shivering, chills, watering_from_eyes,
836,Allergy, continuous_sneezing, chills, watering_from_eyes,
837,Allergy, continuous_sneezing, shivering, watering_from_eyes,
838,Allergy, continuous_sneezing, shivering, chills,
839,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
840,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
841,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
842,GERD, stomach_pain, acidity, vomiting, cough
843,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
844,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
845,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
846,GERD, acidity, ulcers_on_tongue, vomiting, cough
847,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
848,GERD, stomach_pain, acidity, vomiting, cough
849,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
860,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
861,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
862,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
863,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
864,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
865,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
866,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
867,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
868,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
869,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
900,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
901,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
902,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
903,Gastroenteritis, vomiting, dehydration, diarrhoea,
904,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
905,Gastroenteritis, vomiting, sunken_eyes, dehydration,
906,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
907,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
908,Gastroenteritis, vomiting, dehydration, diarrhoea,
909,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
930,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
931,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
932,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
933,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
934,Migraine, acidity, indigestion, headache, excessive_hunger
935,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
936,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
937,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
938,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
939,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
940,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
941,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
942,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
943,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
944,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
945,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
946,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
947,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
948,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
949,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
970,Malaria, chills, vomiting, high_fever, sweating
971,Malaria, chills, vomiting, high_fever, sweating
972,Malaria, chills, vomiting, high_fever, sweating
973,Malaria, vomiting, high_fever, sweating, headache
974,Malaria, chills, high_fever, sweating, headache
975,Malaria, chills, vomiting, sweating, headache
976,Malaria, chills, vomiting, high_fever, headache
977,Malaria, chills, vomiting, high_fever, sweating
978,Malaria, chills, vomiting, high_fever, sweating
979,Malaria, chills, vomiting, high_fever, sweating
980,Chicken pox,itching, skin_rash, fatigue, lethargy
981,Chicken pox, skin_rash, fatigue, lethargy, high_fever
982,Chicken pox,itching, fatigue, lethargy, high_fever
983,Chicken pox,itching, skin_rash, lethargy, high_fever
984,Chicken pox,itching, skin_rash, fatigue, high_fever
985,Chicken pox,itching, skin_rash, fatigue, lethargy
986,Chicken pox,itching, skin_rash, fatigue, lethargy
987,Chicken pox,itching, skin_rash, fatigue, lethargy
988,Chicken pox,itching, skin_rash, fatigue, lethargy
989,Chicken pox,itching, skin_rash, fatigue, lethargy
990,Dengue, skin_rash, chills, joint_pain, vomiting
991,Dengue, skin_rash, chills, joint_pain, vomiting
992,Dengue, skin_rash, chills, joint_pain, vomiting
993,Dengue, skin_rash, chills, joint_pain, vomiting
994,Dengue, chills, joint_pain, vomiting, fatigue
995,Dengue, skin_rash, joint_pain, vomiting, fatigue
996,Dengue, skin_rash, chills, vomiting, fatigue
997,Dengue, skin_rash, chills, joint_pain, fatigue
998,Dengue, skin_rash, chills, joint_pain, vomiting
999,Dengue, skin_rash, chills, joint_pain, vomiting
1070,Tuberculosis, chills, vomiting, fatigue, weight_loss
1071,Tuberculosis, chills, vomiting, fatigue, weight_loss
1072,Tuberculosis, vomiting, fatigue, weight_loss, cough
1073,Tuberculosis, chills, fatigue, weight_loss, cough
